613.070679,3.570582,0.000000,0.000000,1.954425,0.033360,203.101685,-0.185560,-0.917968,63.338810,-0.152200,-2.872108,14.907451,3.888971,188.999573,188.783081,-0.249449,-1.234380,40.867722,-4.323312,-1.548293,4,0,143.844742,2.332068,2.143652,0.372560,0.627440,0.000000,0.000000,0.000000,0.000000,0.000000,84.245850,-1.133794,1.285247,0.524542,0.475458,0.000000,0.000000,0.000000,0.000000,0.000000,0.456199,1
101.219284,2.530973,0.000000,0.000000,4.147886,1.430932,110.804092,0.405697,3.060117,54.756977,1.836629,-0.833132,1.075966,4.142580,189.009018,80.067719,1.707977,-2.737185,29.054962,-3.956884,0.399625,3,0,51.940868,2.592462,-0.959889,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.441231,3.030833,1.532832,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.456199,1
6.161922,0.368148,0.000000,0.000000,3.693567,1.542379,56.510895,1.593278,0.316863,40.668892,0.050899,-3.039251,4.886120,3.491347,125.755951,18.876644,2.667843,0.793328,36.992142,-3.439688,-2.595519,1,0,25.186718,-0.248457,0.271665,0.951322,0.048678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.456199,1
244.409439,1.781790,0.645090,0.376929,1.683158,0.420013,222.369766,0.272716,1.282954,53.880028,-0.147297,-0.346957,7.400256,0.645090,166.111572,225.689270,0.234598,1.042320,63.592949,-2.737698,-0.331203,3,1,157.955566,-1.123096,-1.266611,0.543273,0.456727,53.880028,-0.147297,-0.346957,0.378869,0.621131,148.599136,-0.972190,-3.041999,0.102195,0.897805,0.000000,0.000000,0.000000,0.000000,0.000000,0.456199,1
436.321289,5.079617,0.000000,0.000000,4.020042,1.630545,120.157883,1.816913,2.702737,68.747604,0.186368,-0.971779,1.742237,3.928206,241.110382,70.242966,2.370930,-3.060036,30.247175,-3.680740,-0.538377,2,0,43.783611,-2.004997,0.733469,0.165204,0.834796,0.000000,0.000000,0.000000,0.000000,0.000000,27.500202,3.070001,0.950047,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.456199,1
681.385254,7.204012,0.000000,0.000000,3.331413,1.306072,82.916245,0.539514,-0.377824,48.783714,-0.766558,2.686893,9.664473,6.013546,156.014160,34.480770,0.166553,-0.268950,7.456609,5.165688,-0.758272,3,0,60.170132,-3.614817,1.714071,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.987263,1.869155,-2.957529,0.537339,0.462661,0.000000,0.000000,0.000000,0.000000,0.000000,0.456199,1
8.416389,4.597607,0.000000,0.000000,3.253271,0.784571,128.975143,-1.222976,1.908489,45.938515,-2.007547,-1.248760,7.071807,2.270056,166.238068,83.045372,-2.194396,1.917149,29.445520,4.863101,-0.893554,1,0,42.874809,-4.518174,-0.850938,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.456199,1
700.032043,3.617492,0.000000,0.000000,2.152753,0.729858,196.146744,-0.910468,0.265780,99.979424,-0.180610,2.291033,2.261284,13.775026,260.921631,176.783173,-1.052806,0.798809,46.205425,3.422714,1.211844,2,0,162.518295,0.784798,-2.863449,0.754611,0.245389,0.000000,0.000000,0.000000,0.000000,0.000000,108.533745,-2.548606,-1.458220,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.456199,1
434.296631,4.555958,0.000000,0.000000,3.744500,0.621004,79.833588,-1.138669,1.400450,54.535831,-0.517665,-2.292197,1.143905,5.642350,134.029999,43.919590,-1.885472,2.108226,32.803394,3.255133,-2.995496,2,0,101.099312,1.319658,-0.957847,0.806931,0.193069,0.000000,0.000000,0.000000,0.000000,0.000000,47.113274,-2.309206,1.796803,0.945583,0.054417,0.000000,0.000000,0.000000,0.000000,0.000000,0.456199,1
255.856476,3.949641,0.000000,0.000000,3.296269,0.340167,81.243179,-0.228760,-0.258083,48.269192,0.111407,3.020587,0.144890,0.148770,126.770897,34.071331,-0.382681,-0.452905,95.485992,-0.115037,3.097187,2,0,79.972839,0.885145,-0.344610,0.737277,0.262723,0.000000,0.000000,0.000000,0.000000,0.000000,32.606129,-2.270231,2.030947,0.595955,0.404045,0.000000,0.000000,0.000000,0.000000,0.000000,0.456199,1
